Color Name,Brand,tier,has_color_word,word_count,char_length,avg_word_rarity,has_place_word
Scallop,Farrow & Ball,Luxury,False,1,7,5.62e-07,False
School House White,Farrow & Ball,Luxury,True,3,18,0.00045000000000000004,False
Selvedge,Farrow & Ball,Luxury,False,1,8,7.41e-08,False
Setting Plaster,Farrow & Ball,Luxury,False,2,15,3.1145e-05,False
Shaded White,Farrow & Ball,Luxury,True,2,12,0.00016293000000000001,False
Shadow White,Farrow & Ball,Luxury,True,2,12,0.00017575000000000002,False
Shallot,Farrow & Ball,Luxury,False,1,7,2.29e-07,False
Sizing,Farrow & Ball,Luxury,False,1,6,1.58e-06,False
Skimming Stone,Farrow & Ball,Luxury,False,2,14,3.206e-05,False
Skylight,Farrow & Ball,Luxury,False,1,8,6.92e-07,False
Slipper Satin,Farrow & Ball,Luxury,False,2,13,1.8249999999999999e-06,False
St Giles Blue,Farrow & Ball,Luxury,True,3,13,9.893333333333333e-05,False
Stiffkey Blue,Farrow & Ball,Luxury,True,2,13,6.750535e-05,False
Stirabout,Farrow & Ball,Luxury,False,1,9,0.0,False
Stone Blue,Farrow & Ball,Luxury,True,2,10,9.905e-05,False
Stony Ground,Farrow & Ball,Luxury,False,2,12,7.15e-05,False
String,Farrow & Ball,Luxury,False,1,6,2.51e-05,False
Strong White,Farrow & Ball,Luxury,True,2,12,0.000245,False
Studio Green,Farrow & Ball,Luxury,True,2,12,9.035e-05,False
Sudbury Yellow,Farrow & Ball,Luxury,True,2,14,2.4854e-05,False
Sulking Room Pink,Farrow & Ball,Luxury,True,3,17,9.282666666666666e-05,False
Tailor Tack,Farrow & Ball,Luxury,False,2,11,3.205e-06,False
Tallow,Farrow & Ball,Luxury,False,1,6,2.69e-07,False
Tanner's Brown,Farrow & Ball,Luxury,True,2,14,5.10675e-05,False
Templeton Pink,Farrow & Ball,Luxury,True,2,14,1.7049999999999998e-05,False
Teresa's Green,Farrow & Ball,Luxury,True,2,14,6.76315e-05,False
Treron,Farrow & Ball,Luxury,False,1,6,0.0,False
Vardo,Farrow & Ball,Luxury,False,1,5,1.51e-08,False
Vert de Terre,Farrow & Ball,Luxury,False,3,13,5.738233333333334e-05,False
Wevet,Farrow & Ball,Luxury,False,1,5,0.0,False
Whirlybird,Farrow & Ball,Luxury,False,1,10,1.15e-08,False
White Tie,Farrow & Ball,Luxury,True,2,9,0.0001782,False
Wimborne White,Farrow & Ball,Luxury,True,2,14,0.00016204775,False
Wine Dark,Farrow & Ball,Luxury,False,2,9,8.25e-05,False
Worsted,Farrow & Ball,Luxury,False,1,7,2.63e-07,False
Yeabridge Green,Farrow & Ball,Luxury,True,2,15,6.75e-05,False
Yellow Ground,Farrow & Ball,Luxury,True,2,13,9.5e-05,False
Air force blue,Little Greene,Luxury,True,3,14,0.00017966666666666665,False
Basalt,Little Greene,Luxury,False,1,6,1.05e-06,False
Blue verditer,Little Greene,Luxury,True,2,13,6.75e-05,False
Bone china blue,Little Greene,Luxury,True,3,15,9.683333333333333e-05,True
Brighton,Little Greene,Luxury,False,1,8,7.08e-06,False
Canton,Little Greene,Luxury,False,1,6,3.55e-06,False
Clockwise,Little Greene,Luxury,False,1,9,1.58e-06,False
Deep space blue,Little Greene,Luxury,True,3,15,0.000139,False
Delicate blue,Little Greene,Luxury,True,2,13,7.26e-05,False
Dock blue,Little Greene,Luxury,True,2,9,7.2385e-05,False
Echo,Little Greene,Luxury,False,1,4,1.1e-05,False
Gentle sky,Little Greene,Luxury,False,2,10,3.3650000000000005e-05,False
James,Little Greene,Luxury,False,1,5,0.000129,False
Mambo,Little Greene,Luxury,False,1,5,6.03e-07,False
Marine blue,Little Greene,Luxury,True,2,11,8.444999999999999e-05,False
Mazarine,Little Greene,Luxury,False,1,8,3.47e-08,False
Palatine,Little Greene,Luxury,False,1,8,6.17e-07,False
Pale lupin,Little Greene,Luxury,False,2,10,6.362e-06,False
Pleat,Little Greene,Luxury,False,1,5,1.55e-07,False
Polar blue,Little Greene,Luxury,True,2,10,7.206e-05,False
Purpleheart,Little Greene,Luxury,False,1,11,1.91e-08,False
Royal navy,Little Greene,Luxury,True,2,10,5.4e-05,False
Sky blue,Little Greene,Luxury,True,2,8,9.375e-05,False
Smalt,Little Greene,Luxury,False,1,5,0.0,False
Thai sapphire,Little Greene,Luxury,False,2,13,8.775e-06,False
Tivoli,Little Greene,Luxury,False,1,6,4.68e-07,False
Turquoise blue,Little Greene,Luxury,True,2,14,6.857e-05,False
Wedgwood blue,Little Greene,Luxury,True,2,13,6.77235e-05,False
Weekend,Little Greene,Luxury,False,1,7,8.51e-05,False
Woad,Little Greene,Luxury,False,1,4,7.41e-08,False
Lamp Black,Little Greene,Luxury,True,2,10,0.0001496,False
Acre,Little Greene,Luxury,False,1,4,8.51e-06,False
Aged ivory,Little Greene,Luxury,True,2,10,1.934e-05,False
Apple,Little Greene,Luxury,False,1,5,5.75e-05,False
Boxington,Little Greene,Luxury,False,1,9,0.0,False
Carys,Little Greene,Luxury,False,1,5,8.13e-08,False
Chamois,Little Greene,Luxury,False,1,7,2.95e-07,False
Citrine,Little Greene,Luxury,False,1,7,2.09e-07,False
Daffodil,Little Greene,Luxury,False,1,8,3.63e-07,False
Invisible green,Little Greene,Luxury,True,2,15,7.365e-05,False
Lemon tree,Little Greene,Luxury,False,2,10,4.17e-05,False
